Name,Homeworld,Born,Died,Species,Gender,Height,Mass,Hair color,Eye color,Skin color,Cybernetics,Affiliation(s),Masters,Apprentices
Kaiya Adrimetrum,Siluria III,,,Human,Female,,,Black,Brown,,,Alliance to Restore the RepublicNew RepublicPage's CommandosFarStar,,
Adun,Balmorra,,,Human,Male,,,,,,,Sith EmpireImperial Military,,
Aeliar,,,,Human[1],Female[1],,,Blonde[1],Blue[1],Light[1],,Alliance to Restore the Republic[1],,
Aeran,Junction V,,,Human,Female,,,,,,,,,
Aereena,Lazerian IV[1],,,Human[1],Female[1],,,,,,,Kingdom of Devit[1]New Republic[1],,
Aero,,,,Human[1],,,,,,,,Galactic Empire[2]Task Force 99[2],,
Aeron,Ylesia,,,Human,Male,,,Dark,,,,,,
AF-119,,,,Human[1],Male[2],,,,,,,Galactic Empire[3]Stormtrooper Corps[3],,
AF-27,,,,Human[1],Male[2],,,,,,,Galactic Empire[2]Stormtrooper Corps[2],,
Zeen Afit,Nar Shaddaa,,17 ABY on Skip 6,Human,Male,,,,,,,,,
Afyon,Alderaan[1],44 BBY[1],,Human[1],Male[1],1.7 meters[1],,Brown[2],,,,Galactic Republic[1]Alliance to Restore the Republic[1]New Republic[1],,
Aga  (Imperial),,,,Human[1],Female[1],,,White[1],Blue[1],Light[1],,Galactic Empire[1],,
Tresten Agai'i,,,"20 BBY,[1] Almas[2]",Human[2],Female[2],,,,,,,Galactic Republic[2]Jedi Order[2],,
Braedon Agareth,Coruscant[1],3658 BBY[1],,Human[1],Male[1],,,Red[1],Blue[1],Pale[1],,"Justicars' Brigade (formerly, under duress)[1]",,
Renalda Agareth,Coruscant[1],,,Human[1],Female[1],,,Red[1],Brown[1],Fair[1],,,,
Kyrsta Agate,,,"5 ABY, Jakku[1]",Human[1],Female[2],,,Dark[3],Brown[4],Light[4],Cybernetic right eye[4],Alliance to Restore the Republic[2]New Republic[2]New Republic Defense Fleet[2],,
Agatha,,,,Human,Female,,,,,,,,,
Aggadeen,,,"Sometime after the Assault on Cymoon, Coruscant[1]",Human[2],Male[2],,,,Blue[2],Fair[2],,Galactic Empire[2]Imperial Officer Corps[2],,
Nyrat Agira,Coruscant,,,Human[1],Female[1],,,Brown,Turquoise,,,Disciples of Psusan,,
Agnon,,,,Human[1],Male[1],,,Black[1],Gray[2],Light[1],,New Republic[3]First Order[1]709th Legion[1],,
Maxiron Agolerga,,,,Human[1],Male[1],,,,,Light[1],,Brotherhood of Cognizance[2],,
Bryce Agoris,Alderaan[1],,,Human[1],Male[1],1.9 meters[1],,,,,,Alliance to Restore the Republic[1],,
Pacer Agoyo,Nuja[1],,,Human[1],Male[1],,,Black[1],,,,Resistance[1]Dross Squadron[1],,
Pellas Agri,,,,Human,Male,,,,,,,House Pelagia,,
Ruceba Ahid,Ryloth[1],,,Human[1],Male[1],,,Black[1],Brown[1],Tan[1],,,,
Ahkar,,,,Human[1],Male[1],,,Brown[1],Blue[1],Light[1],,Sith Empire[1]Eternal Alliance[1],,
Tavid Ahkoeri,,,,Human,Male,,,,,,,,,
Ahlya,,,,Human,Female,,,,,,,The Cell,,
Ahr,,,"During the Imperial Era, Kankalo Belt Containment Zone[1]",Human[1],Male[1],,,Gray[1],Brown[1],Light[1],,Galactic Empire[1]Imperial Officer Corps[1]Imperial Navy[1],,
Hhalyia Ahsane,,,,Human[1],Female[1],,,,,,,Custom Stop[1],,
Peema Ahuff,Alderaan,,,Human,Male,,,Black,Brown,Tan,,House Alde,,
Airen,Tatooine[1],,,Human[1],Female[1],,,Red-brown[1],Brown[1],Fair[1],,Espelar,,
Airten,,,,Human[1],Male[1],,,,,Light[1],,Bespin Wing Guard[1],,
Aisala,Tatooine,,,Human,Female,,,,,,,,,
Ajaan,,,,Human[1],Male[1],,,Brown,,Light,,Sith Empire[1],,
Troya Ajak,,,3626 BBY[1],Human[2],Female[3],,,,,,,Ash'ad[3],,
Maximian Ajax,,,"3 ABY, Imperial heavy freighter, Redhurne system[1]",Human[2],Male[2],,,,,,,Alliance to Restore the Republic[2]Thirty-Second Infantry[2]61st Mobile Infantry[2],,
Ajolin,,,,Human[1],Male[1],,,Black[1],Brown[1],Light[1],,Sith Empire[1],,
Jin-Rio Akabi,Colstev,,,Human,Female,,,Brown,,Light,,Rebel Alliance,,
Akaste'vel,,,,Human[1],Male[1],,,Blonde[1],Blue[1],Light[1],,Sith Empire[1],,
Akindra,,,,Human[1],Female[1],,,,,Light,,Sith Empire[1]Imperial Intelligence[1],,
Akko,,,,Human[1],Male[1],,,Brown[1],Brown[1],Dark[1],,Khel Tanna's crew[2],,
Akobi,Ralltiir,,"0 BBY, Death Star I",Human,Male,,,Brown,Blue,Light,,Galactic EmpireImperial Army,,
Akoru,Onderon,,"3627 BBY, Onderon",Human,Male,,,Black[1],Brown[1],Tan[1],,Untamed,,
Alois Akrone,,,Prior to 0 ABY[1],Human[2],Male[1],,,,,,,Galactic Empire[1]Imperial Navy[1],,
Heiwei Akrone,,,,Human[1],Male[1],,,,,,,Galactic Empire[1]Banshee Squadron[1],,
Aksind,,,"Sometime after the Battle of Atollon, Darkhawk[1]",Human[1],Male[1],,,,,,,Galactic Empire[1]501st Legion[1]Kimmund's unit[1],,
Bode Akuna,,,,Human[1],,,,Black[1],Black[1],Tan[1],,,,
Jae Akura,,,,Human[1],Male[2],,,Black[2],Brown[2],,,Darth Krayt's Galactic Empire[2]1st Imperial Center Core Defense Squadron[2],,
Al,,,,Human[1],Male[1],,,Gray[1],Dark[1],Light[1],,Team Colossus[2],,
Alabash  (officer),,,,Human[1],Male[1],,,,,,,Canto Bight Police Department[1],,
Alain  (Human),,,,Human[1],Male[1],,,Dark[1],,Fair[1],,Alliance to Restore the Republic[1],,
Lesk Alair,,,,Human[1],Male[1],,,,Brown[1],,,Galactic Republic[1],,
Neet Alamant,,,,Human,Male,,,,,,,Galactic Empire,,
Alana,,,,,,,,,,,,,,
Alani,New Apsolon,"57 BBY, New Apsolon",,Human,Female,,,Blonde,Dark,,,New ApsolonThe Absolutes,,
Alara,,,"3653 BBY,[1] Jedi Temple, Coruscant[2]",Human[2],Female[2],,,,,,,Jedi Order[2],,
Cinto Alaras,Rya[1],,,Human[1],Male[1],,,,,,,Neuro-Saav Corporation[1],,
Alaric  (Sith),,,,Human[1],Male[1],,,Black[1],Red[1],Light[1],,Sith Empire[1],,
Alarik X,Lazerian IV[1],,,Human[1],Male[1],,,,,,,Kingdom of Devit[1],,
Nee Alavar,,,,Human[1],Female[1],,,,Brown[1],Tan[1],,"Galactic Republic[1]Delegation of 2,000[2]",,
Albathius,,,"c. 3645 BBY, Voss",Human,Male,,,Brown,,Dark,,Star Cabal,,
Albea,,,"c. 3643 BBY, Nal Hutta",Human,Female,,,Brown,Brown,Dark,,Galactic Republic,,
Rage Alburass,Mandalore,,,Human,Male,,,Blond,,Fair,,,,
Alcra,,,,Human[1],,,,,,,,Sertim sisters[1]DSI Hyperbaride Synthesis Plant[1],,
Alde  (Baron),Alderaan,,,Human,Male,,,,,,,House Alde,,
Alde  (Count),Alderaan,,"3643 BBY, Alderaan",Human,Male,,,Brown,Brown,Fair,,House AldeGalactic Republic,,
Darrus Alde,Alderaan[1],,,Human[2],Male[1],,,,,,,House Alde[1]Alderaanian Parliament[1],,
Haemon Alde,Alderaan[1],,,Human[2],Male[1],,,,,,,House Alde[1],,
Joral Alde,Alderaan,,"3643 BBY, Alderaan",Human,Male,,,,,,,House Alde,,
Maelrich Alde,Alderaan[1],,,Human[1],Female[1],,,White[1],Light Brown[1],Tan[1],,House Alde[1]Galactic Republic[1],,
Pabel Alde,Alderaan,,,Human,Female,,,,,,,House AldeGalactic RepublicOroboro Killik nest,,
Renata Alde,Alderaan,,,Human,Female,,,Brown,Brown,Tan,,House AldeGalactic Republic,,
Seraph Alde,Alderaan,,"c. 3643 BBY, Alderaan",Human,Male,,,Black,Brown,Tan,,House AldeJedi OrderGalactic Republic,,
Tavion Alde,Alderaan,,"c. 3643 BBY, Alderaan",Human,Male,,,,Brown,Dark,,House AldeGalactic Republic,,
Nala Aldel,,,,Human[1],Female[1],,,Black[1],Green[1],Fair[1],Minor facial enhancements[1],Binary Star Realty[1],,
Alder,Acherin,,,Human,Male,,,,,,,,,
Cal Alder,Kal'Shebbol[1],,,Human[2],Male[1],,,,Bluish[2],Light[2],,Alliance to Restore the Republic[2]Alliance High Command[1],,
Tess Alder,Corellia[1],,,Human[1],Female[1],,,Red[1],Blue[1],Fair[1],,Alliance to Restore the Republic[1]Stealth Squadron[1]Rogue Squadron[2],,
Aldiae,Dathomir[1],,,Human[1],Female[1],,,,,,,,,
Brixus Aldine,,,,Human[1],Male[1],,,Brown[1],,Fair[1],,House Melantha[1],,
Elarea Aldraste,,,"3630 BBY, Port Nowhere[1]",Human[1],Female[1],,,Red[1],Red[1],Light[1],,Crimson Fang[1],,
Agrippa Aldrete,Alderaan[1],,,Human (Alderaanian)[1],Male[1],,,Gray[1],Blue[1],Light[1],,Galactic Republic[1]Alderaanian delegation[1],,
Alya Aldrete,Alderaan[1],,,Human[1],Female[2],,,Blonde[1],Blue[1],Fair[1],,Aldrete family[1]Alya Aldrete's smuggler fleet[1]Alderaanian Resistance[3],,
Celana Aldrete,Alderaan,,,Human,Female,,,,,,,House of OrganaGalactic EmpireImperial Senate,,
Alec  (Human),,,,Human[1],Male[1],,,Brown[1],Bluish-green[1],Dark[1],,,,
Alec  (Jedi),,,,Human[1],Male[2],Approximately 2 meters[1],,Brown[1],,,,Jedi Order[2],,Saren Valek[2]
Tehlan Aleece,,,,Human,Female,,,,,,,Alliance to Restore the Republic,,
Alekam,,,,Human[1],Male[1],,,Brown[1],Green[1],Tan[1],,Jedi Order[1]Galactic Republic[1],,
Alethios,Alderaan[1],,,Human[1],Male[1],,,Dark brown[1],,Brown[1],,Galactic Republic[1],,
Cassy Algara,,,,Human[1],Female[1],,,Brown[1],,Light[1],,Resistance[1]Exegol landing team[2],,
Alger,,,,Human[1],Male[1],,,Brown[1],Blue[1],Light[1],,,,
Algrunar,,,,Human[1],Male[1],,,Gray[1],Brown[1],Tan[1],,Jedi Order[1]Galactic Republic[1],,
Kel Algwinn,,,"3956 BBY, Korriban[1]",Human[2],Male[2],,,Black[2],Brown[2],Olive[2],,Sith Empire[2]Sith Academy[1],,
Ali-Alann,,,"19 BBY, Coruscant[1]",Human[2],Male[2],,,Brown[2],,,,Jedi Order[2]Galactic Republic[2],,
Alianda,,45 BBY-40 BBY,"20 BBY,[1] Animiasma (Presumed)",Human,Female,,,,,,,,,
Nath Alico,,,,Human[1],Female[1],,,Black[1],,Light[1],,Alliance to Restore the Republic[1]Rebel Alliance Intelligence Service[1]Galactic Empire (as a spy)[1]Ralchio Nervi's task force (as a spy)[1],,
Alif,,,,Human[1],Male[1],,,Red-brown[1],Blue[1],Light[1],,Sith Empire (Formerly)[1],,
Alim'Gen,Nar Shaddaa,,,Human,Male,,,Black,Brown,Dark,,Galactic Republic,,
Alima,Coruscant,,"0 BBY (35:3:6 GrS), Tatooine",Human,Male,,,,,,,Galactic EmpireImperial Navy,,
Alin,,,,Human[1],Male[1],,,Brown[1],Brown[1],Fair[1],,Galactic Empire[1],,
Alinta,,,"22 BBY,[1] Zigoola",Human,Female,,,Blonde,,,,Friends of the Republic,,
Alisia  (Human),,,,Human[1],Female[1],,,Brown[1],Amber[1],Dark[1],,Bright Jewel system band[1],,
Alix,,,"0 BBY, Death Star I (Presumed)",Human,Male,,,,,,,Galactic EmpireStormtrooper Corps,,
Allara,,,,Human[1],Female[1],,,Black[1],Brown[1],Light[1],,Jedi Order[1]Galactic Republic[1],Quarmall (unofficially)[1],
Jess Allashane,,,,Human[1],Male[1],,,,Dark[2],Light[1],,Alliance to Restore the Republic[3],,
Allian,Alderaan,,,Human,Male,,,,,Brown,,,,
Balia Alloo,,,,Human[1],,,,,,,,Meatlumps[1],,
Harp Allor,Chandrila[1],20 BBY[source?],,Human (Chandrilan)[1],Female[1],,,Brown[1],,,,Galactic Empire[1]Apprentice Legislature[1],,
Allura,,,,Human[1],Female[1],,,Brown[1],Brown[1],Fair[1],,,,
Belth Allusis,,,"3671 BBY, Bothawui[1]",Human[1],Male[1],,,Gray[1],,Light[1],,Galactic Republic[1]Jedi Order[1]Jedi High Council[2],,
Alma,,,,Human[1],Female[1],,,Brown[1],Green[1],Light[1],,Sith Empire[1]Imperial Intelligence[1],,
Almak  (Human),,,,Human,Male,,,,,,,Galactic Federation of Free AlliancesGalactic Alliance Guard,,
Almec,Mandalore[1],,"19 BBY,[2] Mandalore[3]",Human[1],Male[1],"1.89 meters (6 ft, 2 in)[4]",,Blond[5],Purple[5],Light[5],,New Mandalorians[5]Mandalorian Government Council[6]Shadow Collective[7],,
Almudin,,,,Human[1],Male[2],,,Black (graying)[3],Brown[3],Tan[3],,Galactic Empire[2]Imperial Navy's officer corps[2],,
Alon,,,"3642 BBY, Dorin's Sky[1]",Human[1],Male[1],,,Brown[1],Brown[1],Tan[1],,Republic Army[1]Storm Squad[1],,
Alinka Aloo,Coruscant[1],,,Human[1],Female[1],,,,,Pale[1],,Aloo family[1]Galactic Empire[1],,
Sim Aloo,,,"4 ABY,[1] DS-2 Death Star II Mobile Battle Station, Endor system[2]",Human[3],Male[3],,,Gray[4],Blue[5],Light[5],,Aloo family[6]Galactic Empire[5],,
Alora,,,,Human[1],Female[1],,,Brown[1],Blue[1],Light[1],,,,
Alozen,,,,Human[1],Male[1],,,Brown,Green,Fair,,Galactic Empire[1]Imperial Navy[1]Storm Squadron[1],,
Alph  (guard),,,"3 ABY (38 GrS), Mandalore[1]",Human[1],Male[1],,,,,,,Galactic Empire[1],,
Alph  (Rogue),,,"3 ABY,[1] secret armada[2]",Human[2],Male[2],,,,,Dark[2],,Alliance to Restore the Republic[2]Rogue Squadron[3],,
Alpha-956,,,,Human,Male,,,,,,,Galactic EmpireImperial RemnantEmpire Reborn,,
Altaca,Alderaan,,,Human,Male,,,Black,Brown,Light,,Galactic Republic,,
Turi Altamik,,,,Human[1],Female[1],,,Golden[1],Green[1],,,New Jedi Order[1],,
Jesper Altax,,,,Human[1],Male[1],,,,,,,Jedi Order[1]Galactic Republic[1],,
Althon,,,,Human[1],Male[1],,,Gray[1],,Fair[1],,Citizen's Council of Dodz[1],,
Margani Altis,Bespin,,,Human,Female,,,,,,,,,
Altiss,,,,Human[1],Female[1],,,,Green[1],Tan[1],,Sith Empire[1],,
Alto,Nallastia,,,Human,Male,,,,,,,Raptor Clan (as Alto)Fondor Spaceport (as Rench),,
Alto Stratus' cousin,,,"c. 22 BBY,[1][2] Jabiim[3]",Human (Jabiimi)[3],Female[3],,,,,,,,,
Ketrian Altronel,Hargeeva,,,Human,Female,,,Red,Green,Light,,Rebel Alliance,,
Alus,Zakuul[1],,,Human (Zakuulan)[1],Male[1],,,Ginger[1],Blue[1],Light[1],,Eternal Empire[1]Knights of Zakuul[1],,
Alva,Ord Mantell[1],c.20 BBY,,Human[1],Female[1],,,,,,,,,
Tren Alvar,,,,Human[1],Male[1],,,Black[1],,Dark[1],,Jedi Order[1],Mavra Zane,
Alvena,,,"3642 BBY, Dorin's Sky[1]",Human[1],Female[1],,,Brown[1],Brown[1],Fair[1],,Galactic Republic[1]Storm Squad[1],,
Jorm Alvic,,,,Human[1],Male[1],,,"Black, turning gray at the temples[1]",,,,The Perre Needmo Newshour[1],,
Alwynn,,,,Human[1],Male[1],,,Brown[1],Blue[1],Fair[1],,,,
Alyak,Fyodos[1],,,Human[1],Female[1],,,,,,,Roh tribe[1],,
Alyson,,,,Human[1],Female[1],,,Brown[1],Brown[1],Light[1],,,,
Merish Alze,,,,Human[1],Female[1],,,Gray[1],Blue[1],Fair[1],,Sith Empire[1]Imperial Reclamation Service[1],,
Am,,,,Human[1],Female[1],,,Blonde[1],Purple[1],Light[1],,Galactic Empire[1],,
Amalak,,,,Human[1],Male[1],,,Dark[1],,Light[1],,,,
Amand,,,,Human[1],Male[1],,,Black (graying)[1],,Light[1],,Alliance to Restore the Republic[1]Molos army[1],,
Amanoa,Onderon[1],4070 BBY[2],"4000 BBY, Onderon[3]",Human[4],Female[5],,,White[2],Brown[2],,,Naddists[1]Onderon Royal Family[1]Sith[5]Galactic Republic[2],Freedon Nadd[1]Ommin[1],
Allegra Amar,,,,Human,Female,,,,,,,Galactic EmpireAlliance to Restore the Republic,,
Amara  (Human),,,,Human,Male,,,,,,,New Republic,,
Amarith,,,,Human,Female,,,,,,,Alliance to Restore the Republic,,
Amaya,,,,Human,Female,,,,,,,,,
Ambassador  (Sith Empire),,,,Human,Male,,,,,,,Sith EmpireImperial Intelligence,,
Amber  (bodyguard),,,,,,,,,,,,,,
Amberson,,,,Human,Male,,,,,,,Outbound Flight ColonyPeacekeepers,,
Amee,Tatooine[1],38 BBY[2],,Human[3],Female[3],,,Blonde[3],Gold[3],Fair[3],,,,
Ament,Jaren's planet,,,Human,Male,,,Bald,,,,,,
Padmé Amidala,Naboo[1],"46 BBY,[2] Naboo[3]","19 BBY,[4] Polis Massa[5] (2 days after Empire Day)[6]",Human (Naboo)[1],Female[1],"1.65 meters (5 ft, 5 in)[7]",,Brown[8],Brown[8],Light[8],,"Naberrie family[3]Refugee Relief Movement[9]Apprentice Legislature[3]Legislative Youth Program[10]Royal House of Naboo[8]Galactic Republic[8]Naboo delegation[10]Loyalist Committee[11]Delegation of 2,000[12]Skywalker family[10]",Mina Bonteri (mentor)[13],
Amis,Mandalore[1],,,Human[1],Male[1],"1.68 meters (5 ft, 6 in)[2]",,Blond;[3] shaved[4],Blue[3],Light[3],,New Mandalorians[1]Royal Academy of Government[1]Mandalore resistance[4],,
Mari Amithest,,Between 30 BBY and 26 BBY[1],,Human[2],Female[2],,,Black[2],Brown[2],Tan[2],,Jedi Order[2]Bear Clan[3],,
Ammon,,,,Human[1],Male[1],,,Auburn,Green,Fair,,Jedi Order[1]Galactic Republic[1],,
Amon,,,During the Doom of the Ordu Aspectu[1],Human[1],Male[1],,,,,,,Ordu Aspectu[1],,
Amy  (Human),,,,Human,Female,,,Brown,Green,,,,,
Amzartho,Tatooine[1],,,Human[1],Male[1],,,,Black[1],Dark[1],,Mandalorians[1],,
An'bal,,,"c. 3643 BBY, Alderaan[1]",Human[1],Female[1],,,,Brown[1],Fair[1],,House Organa[1],,
Anabar,Tatooine,,,Human,Male,,,,,,,,,
Druth Anamor,,,"0 BBY, Toprawa",Human,Male,,,,Pale,,Exoskeleton,Galactic Empire,,
Facet Anamor,,,"0 ABY (35:11 GrS), Lorrd[1]",Human,Female,,,Black,,,,Galactic Empire,,
Anarine,,,,Human,Male,,,,,,,Galactic EmpireImperial Navy,,
Anarq,,,,Human,Female,,,None,,Light,,Sith Empire,,
Odavia Anaru,,,"5 ABY, Jakku[1]",Human[1],Female[1],,,,,Light[1],,New Republic[1]New Republic Starfighter Corps[1],,
Darth Anathel,,,,Human[1],Male[2],,,Black[1],Yellow[1],Light[1],,Sith Empire[2]Dark Council[1]Sphere of Sith Doctrine[1],,
Anathemos,,,,Human[1],Male[1],,,Grey[1],Blue,Pale[1],Implants on cheeks,Sith Empire[1]Sphere of Mysteries[1],,
Karl Mathieu Ancher,Corellia[1],59 BBY,,Human[1],Male[1],,,,,,Cybernetic leg[1],Black Dust Tavern[1]Ethra Brewery,,Kaine Paulsen[1]
Toob Ancher,Corellia[1],,"0 ABY, over Redcap",Human[1],Male[1],,,,,,Cybernetic right eye[1],Saadoon-Kauldi's criminal empire,,
Talena Ancia,,,,Human,Female,,,,Blue,Light,,Jedi OrderGalactic Republic,,
Jioie Ancum,Tuttin IV,,,Human,Female,,,,,,,Alliance to Restore the Republic,,
Ryley Ancum,,18 BBY,,Human,Male,,,,,,,Far Cry,,
Tendis Ancum,Tuttin IV,,,Human,Male,,,,,,,Alliance to Restore the Republic,,
Anda,Onderon,,,Human,Female,,,Black,Brown,,,Onderon separatists,,
Villis Andal,Atrisia[1],,,Human[1],Male[1],,,,,,,Galactic Empire[1]Imperial Diplomatic Corps[1],,
Andan,,,,Human,Male,,,Black,Black,Fair,Eye implants,Sith EmpireImperial Intelligence,,
Anderam,Alderaan[1],,"0 BBY,[2] Alderaan[1]",Human[1],Male[1],,,,,,,House of Organa[1],,
